delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
430.79,223.073,21.4372,-0.853702,-0.0295824,-0.519921,-152,0,-9.18966,0.426851,4059.26,3454.85,3017.62,3454.85,3892.07,3024.06
431.72,223.148,21.3753,-0.853372,-0.030312,-0.520408,-152.064,0,-9.10359,0.426686,4059.01,3454.85,3017.48,3454.85,3892.22,3023.13
432.65,223.224,21.3134,-0.853042,-0.0310416,-0.520894,-152.129,0,-9.01752,0.426521,4058.76,3454.85,3017.33,3454.85,3892.37,3022.2
433.58,223.3,21.2515,-0.852712,-0.0317712,-0.521381,-152.193,0,-8.93144,0.426356,4058.51,3454.85,3017.18,3454.85,3892.51,3021.27
434.51,223.375,21.1897,-0.852383,-0.0325008,-0.521867,-152.257,0,-8.84537,0.426191,4058.26,3454.85,3017.03,3454.85,3892.66,3020.34
435.441,223.451,21.1279,-0.852053,-0.0332304,-0.522354,-152.322,0,-8.7593,0.426026,4058.01,3454.85,3016.88,3454.85,3892.81,3019.41
427.27,222.752,21.495,-0.851928,-0.0259954,-0.522674,-151.774,0,-9.59187,0.425964,4058.83,3454.85,3018.25,3454.85,3891.44,3027.58
436.371,223.526,21.0661,-0.851723,-0.03396,-0.52284,-152.386,0,-8.67323,0.425861,4057.76,3454.85,3016.73,3454.85,3892.96,3018.48
432.193,222.547,21.4226,-0.851603,-0.0240974,-0.523003,-152,0.5,-9.21461,0.425801,4057.49,3454.85,3018.65,3454.85,3891.04,3022.65
437.301,223.602,21.0043,-0.851393,-0.0346896,-0.523327,-152.45,0,-8.58715,0.425697,4057.52,3454.85,3016.59,3454.85,3893.11,3017.54
433.123,222.623,21.3606,-0.851273,-0.024827,-0.52349,-152.064,0.5,-9.12854,0.425636,4057.24,3454.85,3018.51,3454.85,3891.19,3021.72
438.231,223.678,20.9425,-0.851063,-0.0354192,-0.523814,-152.515,0,-8.50108,0.425532,4057.27,3454.85,3016.44,3454.85,3893.25,3016.61
434.053,222.699,21.2987,-0.850943,-0.0255566,-0.523976,-152.129,0.5,-9.04247,0.425471,4056.99,3454.85,3018.36,3454.85,3891.34,3020.79
