case_id,power_w,velocity_m_s,available_points,sampled_points,sampled_rear_liquidus_points,sampled_evaporation_points,raw_et_rmse_k,warped_et_rmse_k
alloy0_50W_0.1ms,50.0,0.1,19389,500,0,0,450.96882471425874,92.33601298664404
alloy0_50W_0.5ms,50.0,0.5,25741,500,0,0,156.46783152812986,80.88595347720057
alloy0_50W_1ms,50.0,1.0,34616,500,0,0,132.98254176588517,56.21328328582936
alloy0_50W_1.5ms,50.0,1.5,41800,500,0,0,125.04235573316679,41.43888505605692
alloy0_150W_0.1ms,150.0,0.1,17012,500,0,125,1107.1575372551144,596.0525143541036
alloy0_150W_0.5ms,150.0,0.5,8126,500,0,95,570.6678949413239,300.2644601265331
alloy0_150W_1ms,150.0,1.0,8095,500,0,45,299.57724767625507,161.82087696914783
alloy0_150W_1.5ms,150.0,1.5,8386,500,0,43,331.18026502692663,139.1639992102117
alloy0_250W_0.1ms,250.0,0.1,16727,500,0,125,1618.7884042421279,862.8339661418427
alloy0_250W_1ms,250.0,1.0,6022,500,0,88,717.9573532602046,402.65688722958316
alloy0_250W_1.5ms,250.0,1.5,5788,500,0,44,418.4802025440561,169.72053754838834
alloy0_350W_0.1ms,350.0,0.1,10699,500,0,125,1960.0781135936836,491.4395582540369
alloy0_350W_0.5ms,350.0,0.5,14131,500,0,125,1716.085418878247,717.1155929029374
alloy0_350W_1ms,350.0,1.0,7896,500,0,125,1241.1709155900294,569.9414365601966
alloy0_350W_1.5ms,350.0,1.5,6496,500,0,83,816.6800592601952,415.24591214818764
