x,y,z,nearest_et_grid_distance_um,T_ET,T_TCAM,P,V,A,k,Cp,rho,Tliq,Tevap,r_xy,r_3d,delta_T,delta_T_pred,delta_T_std,T_corrected
-594.7355,199.0885,-24.861075,1.4536996442267343,664.9551049776207,720.3752272291551,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,627.1734574999966,627.6660089909726,55.420122251534394,51.38673774956533,177.89226352592152,716.3418427271861
-148.757,114.87899999999999,-207.244,1.3846393032122244,333.5551360045889,488.14797856659715,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,187.95166849485534,279.7783144312654,154.59284256200823,153.62844715817812,205.1980254738377,487.18358316276704
-131.64700000000002,143.899,-222.529,0.6439340028294452,310.84990645411415,383.0178734076508,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,195.03295826603258,295.9003390518504,72.16796695353668,62.06483755369459,220.69325703048682,372.91474400780874
-158.05300000000003,177.27100000000002,-85.4457,0.9173322680468674,469.95888876682835,726.3360890792743,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,237.49896473458577,252.4019134208178,256.37720031244595,254.0524327195737,188.89867442761906,724.011321486402
-122.206,156.247,-78.01440000000001,0.32195086581652127,534.2491117245656,820.0724622511084,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,198.36186993724374,213.15177234158764,285.82335052654275,267.44475865006456,210.55705782016784,801.6938703746303
-113.957,183.961,-77.7252,0.28086480733622476,411.4809268633772,637.4104975249267,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,216.39742921301075,229.93271643035055,225.92957066154946,209.6485981679113,195.610380323255,621.1295250312885
-144.18300000000002,163.417,-56.0506,0.6131381247321058,605.3141473646892,871.8171393602923,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,217.93084540284792,225.02338353682268,266.5029919956031,272.7938510657069,188.6513403350687,878.1079984303962
-86.7338,139.863,-104.454,0.873697567811638,445.562218996164,752.9914101100823,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,164.5734207927878,194.923187300639,307.42919111391825,325.6599507301847,216.32263312421756,771.2221697263487
9.93863,189.65099999999998,-207.209,0.8667457971631893,298.4585511584618,319.2378753889217,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,189.91123760135125,281.07267360644806,20.779324230459906,19.024572833949833,215.68117951574564,317.4831239924116
-7.16849,181.857,-176.656,1.0687347098789157,300.0420713549789,349.10778171257,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,181.9982299306235,253.6349700531851,49.065710357591115,40.68390509175401,256.58093818916586,340.7259764467329
-363.18199999999996,133.83599999999998,-63.7926,0.8596713092805197,957.3415852679741,1084.6743911737137,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,387.05715342827597,392.2789005729979,127.33280590573963,119.34639955809888,186.22667624312322,1076.687984826073
-75.604,185.00799999999998,-109.21000000000001,1.3285254984380503,337.7486048088592,508.27355698365034,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,199.8597630339834,227.75150708612225,170.5249521747911,170.26302470041128,209.20499285674796,508.0116295092705
-100.686,168.18,-104.09299999999999,0.7152936459944299,390.73845307377013,631.4233520508931,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,196.0157723143727,221.9403875931553,240.68489897712294,229.82037303325762,226.0210547388618,620.5588261070277
-67.9705,160.192,-129.376,0.6535367242933118,338.9146801870035,533.5028948442997,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,174.0157054241082,216.84006804612935,194.5882146572962,202.8717167341045,214.66174901784936,541.786396921108
-176.938,151.45600000000002,-47.5942,1.157779616334638,787.9616851192628,1052.2034514911852,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,232.90765504808982,237.72081030831103,264.2417663719224,251.46064342522857,191.56903309090916,1039.4223285444914
-190.034,145.737,-82.5145,0.5788222957004776,690.6329092088962,992.7799978367908,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,239.48318171637857,253.29989545053112,302.1470886278946,282.6258445084178,202.57136847892704,973.258753717314
-162.203,139.02700000000002,-75.7377,1.0279782536610318,735.0023150971718,1049.952025968039,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,213.63127097407815,226.65947837955068,314.9497108708671,315.86656125067486,181.3334167076264,1050.8688763478467
-191.605,115.42,-62.88329999999999,1.1281151935861606,1114.8278576547586,1380.2673059384967,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,223.68337538806946,232.35438847564296,265.4394482837381,250.29244972168772,183.681733338946,1365.1203073764464
-22.2779,185.09900000000002,-126.112,0.9495121958142293,308.09647630654166,406.0243707492041,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,186.4348267610159,225.08260966456294,97.92789444266242,100.53959341725545,209.54020375073225,408.6360697237971
-29.2642,179.672,-154.024,0.8059538696476383,304.6980128964036,391.8738502179312,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,182.03961378128662,238.4571524648401,87.17583732152758,89.46268254350525,231.9511907362737,394.16069543990886
-90.5201,177.309,-55.1173,1.2357768002354037,442.2224129620645,660.6230557586276,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,199.07880345483795,206.5678744246065,218.40064279656315,211.23400668816038,190.84424158364735,653.4564196502249
-72.20389999999999,181.703,-80.6968,0.7844198174446826,368.1642456296429,560.0444036614664,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,195.52335764355624,211.52152825291802,191.8801580318235,187.55002362769483,191.38934058728157,555.7142692573377
-49.2756,188.109,-110.166,0.7511273926571946,321.1208124780739,456.89967798794186,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,194.4558578093239,223.49413458155897,135.77886550986796,131.89435646434038,197.73458903903426,453.0151689424143
-97.1978,114.615,-130.101,1.0158498117339918,443.5511115605106,827.1383269126458,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,150.2797742540226,198.77193149647664,383.58721535213516,394.7257028628079,215.40324204408014,838.2768144233185
-113.472,165.74800000000002,-60.0487,0.5870772436400457,524.7500988752555,782.6800203744907,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,200.86884847581518,209.65242822273729,257.9299214992352,237.7725862120089,201.23973569167524,762.5226850872643
-116.61,163.747,-37.9345,0.6636258358442624,606.0542415546734,850.9221344756019,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,201.024804710762,204.572721542365,244.8678929209285,232.18498689416714,191.8817560872104,838.2392284488405
-208.16000000000003,50.238699999999994,-76.7789,0.8302185856748512,1695.3682562116092,1973.928733336764,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,214.13666798960426,227.48519086503194,278.5604771251549,260.2840287981151,173.1853392071044,1955.6522850097242
-134.05399999999997,136.346,-27.0916,0.9735617905403087,993.1321798276841,1195.9438490151856,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,191.2085422568772,193.11825761061533,202.81166918750148,223.9202775569417,193.1622023501848,1217.0524573846258
-128.497,186.93099999999998,-110.897,1.3850555945520533,370.04587919272365,574.2030788923147,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,226.8362355753595,252.49321254045623,204.15719969959105,200.84143450709092,193.17631996013807,570.8873136998145
-48.380900000000004,187.275,-139.232,1.122734968725941,310.05471619680145,419.6531582821739,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,193.4234657682723,238.3237019975353,109.59844208537243,107.73211585235083,219.9551484031629,417.7868320491523
-284.443,198.254,-141.318,0.8519911971376248,407.2804512094602,595.9402447516733,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,346.7166981340818,374.4105312207444,188.6597935422131,188.68365745135014,187.50299511849678,595.9641086608103
-280.72900000000004,147.39000000000001,-135.465,1.0907639524663757,547.3742486034014,793.5533908368469,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,317.06873630334485,344.7946486910724,246.17914223344553,252.1058469086824,233.9417224270061,799.4800955120838
-317.451,156.076,-149.535,0.7234652721451146,502.3908646252078,701.037519778263,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,353.7440532037253,384.05152180664516,198.64665515305518,205.60377058184991,212.4736935833147,707.9946352070577
-277.14500000000004,153.035,-184.778,1.505833324109904,400.41080990556287,562.9802177874445,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,316.58973806805557,366.56782664876636,162.56940788188166,177.09340774661507,258.0329385785459,577.5042176521779
-128.94400000000002,146.889,-185.305,1.4712178628605892,329.3811738325632,496.85680764143734,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,195.45570714870416,269.3341353820566,167.47563380887414,167.570559983132,191.26419440822878,496.9517338156952
-121.96799999999999,182.838,-173.81699999999998,0.8583455015318765,317.7687267951838,446.44270740339766,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,219.78609434629843,280.2111288956953,128.67398060821387,128.33390086337022,195.21594039097494,446.102627658554
-148.72799999999998,165.906,-147.741,0.7783964285632209,365.4161670334532,584.1965848332512,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,222.8111730142813,267.3428919964023,218.78041779979804,225.38141586937456,197.79888647602053,590.7975829028278
-256.064,46.0107,-38.5658,0.5695086742095979,2143.871007972363,2110.0405891637374,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,260.16486428895433,263.00775186319134,-33.83041880862538,-11.894126662072381,192.74808295171258,2131.9768813102905
-141.927,133.356,-57.1728,1.050868612149041,870.9922580796484,1151.539645701645,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,194.7488024738535,202.96754697448554,280.54738762199656,285.8222929174853,191.623966265234,1156.8145509971337
-165.77,115.638,-85.07,1.024130851014682,876.5599926241017,1229.8767412549844,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,202.1183810146915,219.29146094638526,353.31674863088267,352.3433810521838,175.54375040376212,1228.9033736762856
-279.885,5.22107e-15,-40.997,1.0036104822090814,2213.8129882527437,2123.1069745510276,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,279.885,282.87164445027,-90.70601370171607,-66.59621202148003,217.48001778691702,2147.216776231264
-267.798,107.375,-196.501,0.8260932150792523,427.4200294908391,598.668258138344,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,288.5223724930183,349.08136935390866,171.24822864750485,169.85362727272508,190.41024302312314,597.2736567635642
-223.61200000000002,107.724,-192.31900000000002,0.5731326199057009,406.78331025987296,620.0710562772985,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,248.20714478032258,313.99583513320687,213.2877460174255,202.8739905158007,215.9661267025479,609.6573007756737
-227.14499999999998,58.6486,-195.467,1.1982470362992976,451.2450214113255,695.2294042235534,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,234.59435054357127,305.35529698362853,243.98438281222786,238.65583314958735,228.11342777305964,689.9008545609129
-192.647,71.8395,-207.21699999999998,1.0283278903151742,381.3472792605623,584.2051754346743,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,205.6058860277351,291.91208515279044,202.857896174112,205.7731258596554,183.04501737268114,587.1204051202177
-136.751,199.62300000000002,-141.283,1.1046352339121055,331.78468759015374,490.40854825024263,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,241.97144073216575,280.1982587722486,158.6238606600889,161.48711705325496,179.7848847134266,493.2718046434087
-179.507,196.998,-124.64,1.2839988317751463,371.8669797054112,575.103129830739,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,266.516369202719,294.2211832159609,203.2361501253278,203.36996615476852,179.0296041103128,575.2369458601797
-116.57199999999999,126.62700000000001,-157.68,0.9070352804604751,372.83298996199716,651.3009035258927,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,172.11457902513663,233.42324372906825,278.4679135638956,275.8456873464186,270.2653763821148,648.6786773084157
-118.855,159.042,-158.228,1.3041368793190364,341.3257772450364,541.2638618981345,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,198.5468931738797,253.88377020400497,199.93808465309803,202.75135516688357,212.94377568957862,544.07713241192
-96.2568,136.427,-177.333,0.832564856332546,327.1125184212719,511.26615675384045,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,166.96615787410335,243.56660436981093,184.15363833256856,180.07256486974921,282.2397697830465,507.1850832910211
-173.566,144.617,-113.274,1.0469579743237194,531.6455071010631,851.1591301120379,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,225.91864253531625,252.72560638170404,319.5136230109748,316.50826386274895,197.10057725016947,848.1537709638121
