delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-278.327,342.541,101.033,-0.451597,0.466256,-0.760701,-48,0,-94.0384,0.225798,1005.89,3454.85,2783.47,3454.85,4126.23,3733.17
-91.2357,381.473,121.188,-0.366084,0.536373,-0.760452,-40,0,-98.2879,0.183042,858.205,3454.85,2707.16,3454.85,4202.53,3546.08
107.893,407.15,155.409,-0.172648,0.570234,-0.803135,-32,0,-101.267,0.086324,746.274,3454.85,2656.83,3454.85,4252.86,3346.95
-21.2246,370.304,153.991,-0.165598,0.590416,-0.789928,-32,8,-96.1014,0.082799,832.16,3454.85,2729.05,3454.85,4180.64,3476.07
-457.557,293.413,63.0185,-0.286377,0.274224,-0.918036,-64,0,-86.6632,0.143188,1346.18,3454.85,2879.76,3454.85,4029.94,3912.4
-287.709,339.714,99.8819,-0.449415,0.462337,-0.764376,-48.6157,0,-93.75,0.224707,1016.9,3454.85,2789.01,3454.85,4120.69,3742.56
-419.252,317.381,77.7747,-0.405063,0.353511,-0.843181,-56,0,-89.571,0.202531,1193.32,3454.85,2832.78,3454.85,4076.91,3874.1
-284.314,339.399,101.848,-0.44617,0.465838,-0.764151,-48,0.515389,-93.75,0.223085,1011.48,3454.85,2789.62,3454.85,4120.07,3739.16
-194.373,339.657,135.121,-0.314731,0.533156,-0.785296,-40,7.73855,-93.75,0.157366,939.971,3454.85,2789.12,3454.85,4120.57,3649.22
-447.229,291.631,87.2368,-0.329792,0.353648,-0.875311,-56,8,-87.0591,0.164896,1255.94,3454.85,2883.25,3454.85,4026.44,3902.07
-358.782,311.774,105.935,-0.36907,0.440987,-0.818119,-48,8,-90.096,0.184535,1101.58,3454.85,2843.77,3454.85,4065.92,3813.63
-188.655,339.999,136.793,-0.304966,0.536466,-0.786892,-39.6419,8,-93.75,0.152483,936.819,3454.85,2788.45,3454.85,4121.24,3643.5
-197.882,338.656,135.288,-0.312313,0.532412,-0.786764,-40,8,-93.6025,0.156156,943.397,3454.85,2791.08,3454.85,4118.61,3652.73
-51.0666,363.553,157.106,-0.155618,0.602185,-0.783042,-32,10.8666,-93.75,0.0778092,868.379,3454.85,2742.28,3454.85,4167.41,3505.91
-251.594,325.336,131.194,-0.210555,0.601402,-0.770703,-40,16,-87.7819,0.105278,1067.79,3454.85,2817.19,3454.85,4092.5,3706.44
-111.214,353.065,153.446,-0.102513,0.657514,-0.746435,-32,16,-89.4042,0.0512567,955.477,3454.85,2762.84,3454.85,4146.85,3566.06
48.0709,305.351,22.282,-0.391972,0.340555,-0.854623,-104,0,-84.1167,0.195986,1711.6,3454.85,2856.36,3454.85,4053.33,3406.78
-52.9688,292.368,27.6022,-0.0263769,0.21168,-0.976983,-96,0,-85.9118,0.0131884,1604.38,3454.85,2881.8,3454.85,4027.89,3507.81
-436.299,283.663,57.0412,-0.216024,0.252603,-0.943147,-68.0604,0,-85.9375,0.108012,1401.79,3454.85,2898.87,3454.85,4010.82,3891.14
-422.65,280.433,50.076,-0.142515,0.226606,-0.963504,-72,0,-84.8954,0.0712575,1473.5,3454.85,2905.2,3454.85,4004.5,3877.5
-460.866,286.66,66.3673,-0.262408,0.277103,-0.924314,-64,2.887,-85.9375,0.131204,1364.45,3454.85,2892.99,3454.85,4016.7,3915.71
24.2676,290.659,22.9112,-0.649903,0.496871,-0.575105,-104,8,-80.2321,0.324951,1842.07,3454.85,2885.15,3454.85,4024.54,3430.58
-51.3861,276.745,24.4163,-0.132812,0.332559,-0.933684,-96,8,-83.9278,0.066406,1668.42,3454.85,2912.43,3454.85,3997.27,3506.23
-421.166,280.447,53.7717,-0.103366,0.256644,-0.960963,-72,8,-83.194,0.0516829,1527.28,3454.85,2905.17,3454.85,4004.52,3876.01
-453.941,283.902,79.4316,-0.278529,0.321453,-0.905036,-60.3308,8,-85.9375,0.139264,1326.26,3454.85,2898.4,3454.85,4011.29,3908.79
-469.715,283.418,69.6101,-0.233439,0.298201,-0.925517,-64,8,-84.5692,0.11672,1408.37,3454.85,2899.35,3454.85,4010.34,3924.56
-437.42,289.916,88.4199,-0.2959,0.377162,-0.877606,-56,10.4665,-85.9375,0.14795,1280.38,3454.85,2886.61,3454.85,4023.08,3892.27
-358.479,301.393,111.093,-0.258562,0.51933,-0.81452,-48,15.3846,-85.9375,0.129281,1191.73,3454.85,2864.12,3454.85,4045.58,3813.32
-21.8488,311.624,25.3651,-0.367892,0.637588,-0.676858,-96,16,-79.4162,0.183946,1803.43,3454.85,2844.06,3454.85,4065.63,3476.69
-124.037,301.247,30.2014,-0.0323159,0.498595,-0.866232,-88,16,-80.8523,0.016158,1704.76,3454.85,2864.4,3454.85,4045.29,3578.88
-355.244,297.591,51.8268,-0.0582419,0.417801,-0.90667,-72,16,-80.5521,0.029121,1596.19,3454.85,2871.57,3454.85,4038.12,3810.09
-421.847,293.951,65.5417,-0.155849,0.447631,-0.880533,-64,16,-81.298,0.0779246,1499.18,3454.85,2878.7,3454.85,4030.99,3876.69
-428.898,293.515,84.2723,-0.229393,0.490016,-0.840989,-56,16,-82.9524,0.114697,1366.47,3454.85,2879.56,3454.85,4030.14,3883.74
-342.584,303.562,114.81,-0.24368,0.5405,-0.805283,-46.9486,16,-85.9375,0.12184,1179.91,3454.85,2859.86,3454.85,4049.83,3797.43
-361.1,301.242,110.667,-0.250378,0.533494,-0.807896,-48,16,-85.5107,0.125189,1203.96,3454.85,2864.41,3454.85,4045.28,3815.95
-239.537,326.871,125.403,-0.18469,0.611778,-0.769167,-40,18.4758,-85.9375,0.0923449,1102.57,3454.85,2814.18,3454.85,4095.51,3694.38
-110.933,351.981,140.407,-0.0648255,0.681688,-0.728765,-32,20.0241,-85.9375,0.0324128,1017.93,3454.85,2764.96,3454.85,4144.73,3565.78
-332.211,316.266,86.468,-0.138967,0.715915,-0.684218,-48,24,-78.7575,0.0694837,1380.41,3454.85,2834.97,3454.85,4074.73,3787.06
-265.854,328.271,104.311,-0.100495,0.754833,-0.648173,-40,24,-80.0433,0.0502475,1253.99,3454.85,2811.44,3454.85,4098.26,3720.7
-165.01,346.55,123.164,-0.00461686,0.791695,-0.610899,-32,24,-80.8211,0.00230843,1143.2,3454.85,2775.61,3454.85,4134.08,3619.86
77.4713,302.468,23.2286,-0.747437,0.556623,-0.36264,-110.607,0,-78.125,0.373719,1952.25,3454.85,2862.01,3454.85,4047.68,3377.37
21.5987,293.91,24.6827,-0.730542,0.522315,-0.439882,-105.595,8,-78.125,0.365271,1923.45,3454.85,2878.78,3454.85,4030.91,3433.25
19.1833,299.796,24.6876,-0.695396,0.549928,-0.462606,-104,10.0953,-78.125,0.347698,1909.67,3454.85,2867.25,3454.85,4042.45,3435.66
-14.6151,317.443,26.4296,-0.470438,0.649131,-0.59776,-97.6745,16,-78.125,0.235219,1857.33,3454.85,2832.66,3454.85,4077.03,3469.46
-17.1179,322.929,26.6899,-0.400634,0.673548,-0.621149,-96,17.2113,-78.125,0.200317,1841.97,3454.85,2821.91,3454.85,4087.79,3471.96
-87.6476,333.416,31.0372,-0.132487,0.649758,-0.748506,-88,19.7991,-78.125,0.0662433,1779.44,3454.85,2801.35,3454.85,4108.34,3542.49
-192.388,330.782,38.9346,-0.0314373,0.567774,-0.822584,-80,20.3528,-78.125,0.0157187,1720.64,3454.85,2806.51,3454.85,4103.18,3647.23
-290.627,323.578,48.6231,-0.0553346,0.540159,-0.839742,-72,20.6159,-78.125,0.0276673,1655.12,3454.85,2820.63,3454.85,4089.06,3745.47
-348.393,317.605,59.2575,-0.111998,0.578205,-0.808168,-64,21.5934,-78.125,0.0559989,1577.47,3454.85,2832.34,3454.85,4077.35,3803.24
-358.252,314.344,71.5774,-0.14227,0.653296,-0.743615,-56,23.1536,-78.125,0.0711352,1489.62,3454.85,2838.73,3454.85,4070.96,3813.1
-67.0289,349.212,32.1911,-0.214033,0.79411,-0.56884,-88,24,-73.6697,0.107017,1935.67,3454.85,2770.39,3454.85,4139.3,3521.87
-164.951,343.674,37.1694,-0.0552312,0.713351,-0.698627,-80,24,-74.9033,0.0276156,1831.6,3454.85,2781.25,3454.85,4128.45,3619.8
-267.036,332.961,44.831,-0.0358596,0.671578,-0.740066,-72,24,-75.1397,0.0179298,1758.47,3454.85,2802.24,3454.85,4107.45,3721.88
-342.019,322.144,54.9588,-0.0789627,0.673578,-0.734886,-64,24,-75.6646,0.0394813,1664.38,3454.85,2823.44,3454.85,4086.25,3796.87
-341.339,315.678,78.3795,-0.134182,0.698105,-0.703309,-52.2775,24,-78.125,0.067091,1445.4,3454.85,2836.12,3454.85,4073.58,3796.19
-363.827,315.294,69.4241,-0.126618,0.688946,-0.713668,-56,24,-77.0246,0.0633089,1529.06,3454.85,2836.87,3454.85,4072.82,3818.67
-318.749,319.882,83.257,-0.132213,0.729922,-0.670622,-48,24.8081,-78.125,0.0661064,1394.33,3454.85,2827.88,3454.85,4081.81,3773.59
-242.295,334.626,93.2152,-0.0804473,0.793096,-0.603761,-40,26.0671,-78.125,0.0402237,1296.45,3454.85,2798.98,3454.85,4110.71,3697.14
6.84475,295.573,23.4777,-0.858697,0.512252,-0.0154427,-111.99,0,-70.3125,0.429348,2272.34,3454.85,2875.52,3454.85,4034.17,3448
-38.2826,296.136,26.5694,-0.881962,0.444844,-0.155744,-107.997,8,-70.3125,0.440981,2250.41,3454.85,2874.42,3454.85,4035.27,3493.13
-28.4606,313.7,28.8843,-0.788492,0.552851,-0.26951,-104,14.8894,-70.3125,0.394246,2208.94,3454.85,2839.99,3454.85,4069.7,3483.31
-28.8605,316.82,29.4475,-0.764494,0.575317,-0.29079,-103.232,16,-70.3125,0.382247,2200.94,3454.85,2833.88,3454.85,4075.81,3483.71
-45.2307,309.681,29.5873,-0.798549,0.545801,-0.253814,-104,16,-67.9216,0.399274,2313.82,3454.85,2847.87,3454.85,4061.82,3500.08
-19.2757,340.676,30.9724,-0.500442,0.771944,-0.391996,-96,22.6113,-70.3125,0.250221,2123.88,3454.85,2787.12,3454.85,4122.57,3474.12
-30.6282,344.93,32.321,-0.418197,0.804516,-0.42174,-93.5154,24,-70.3125,0.209098,2100.65,3454.85,2778.78,3454.85,4130.91,3485.47
-29.3989,330.059,32.0448,-0.506101,0.789158,-0.347982,-96,24,-67.4236,0.253051,2246.32,3454.85,2807.93,3454.85,4101.76,3484.24
-55.4432,348.672,34.1009,-0.267889,0.842955,-0.466543,-88,26.1802,-70.3125,0.133944,2050.2,3454.85,2771.45,3454.85,4138.24,3510.29
-126.182,346.1,36.81,-0.121906,0.841267,-0.526695,-80,27.7683,-70.3125,0.060953,1982.26,3454.85,2776.49,3454.85,4133.2,3581.03
-213.892,336.498,40.032,-0.0474542,0.828955,-0.557299,-72,28.3767,-70.3125,0.0237271,1913.44,3454.85,2795.31,3454.85,4114.38,3668.74
-295.472,325.161,44.6108,-0.0323282,0.839605,-0.542235,-64,28.6167,-70.3125,0.0161641,1837.55,3454.85,2817.53,3454.85,4092.16,3750.32
-349.156,317.976,51.4278,-0.0416176,0.871408,-0.48879,-56,28.8892,-70.3125,0.0208088,1751.07,3454.85,2831.61,3454.85,4078.08,3804
-364.993,317.639,60.8343,-0.0370765,0.906773,-0.419986,-48,29.2291,-70.3125,0.0185383,1654.67,3454.85,2832.27,3454.85,4077.42,3819.84
-102.411,296.659,21.7058,-0.932111,0.362064,0.00891334,-111.114,0,-62.5,0.466055,2625.95,3454.85,2873.4,3454.85,4036.3,3557.26
-122.467,291.199,26.3356,-0.940816,0.324651,-0.0972992,-108.6,8,-62.5,0.470408,2610.19,3454.85,2884.1,3454.85,4025.6,3577.31
-89.306,292.613,29.5467,-0.855842,0.477427,-0.198992,-105.287,16,-62.5,0.427921,2563.91,3454.85,2881.32,3454.85,4028.37,3544.15
