case_id,power_w,velocity_m_s,amplitude,rear_scale,front_scale,width_scale,depth_scale,x_shift_over_sigma,optimizer_success,optimizer_message,optimizer_evaluations,warp_sample_points,identity_full_rmse_k,fitted_full_rmse_k,selected_full_rmse_k,fitted_warp_accepted,full_rmse_improvement_k
alloy0_50W_0.1ms,50.0,0.1,0.9770322790307482,0.45273428199430227,0.7161987969715318,0.6043492869228343,0.7069180465748134,0.0027187918798929943,False,Maximum number of iterations has been exceeded.,1833,900,450.96882471425874,94.32600395947135,94.32600395947135,True,356.6428207547874
alloy0_50W_0.5ms,50.0,0.5,1.1468950919519083,0.5502274822677022,0.6908588695101399,0.7045527382989971,0.8961059399028777,0.1436778532127878,False,Maximum number of iterations has been exceeded.,2834,900,156.46783152812986,85.86838444326126,85.86838444326126,True,70.5994470848686
alloy0_50W_1ms,50.0,1.0,1.340820044791507,0.5021008803152873,0.5911787512228458,0.6486225642998281,0.9999999908662052,0.10583862221443907,False,Maximum number of iterations has been exceeded.,2330,900,132.98254176588517,57.2715579210119,57.2715579210119,True,75.71098384487328
alloy0_50W_1.5ms,50.0,1.5,1.5075251993820815,0.49874714845482293,0.5366583861908136,0.5850761390213384,0.9790189409401542,0.11177396392106331,False,Maximum number of iterations has been exceeded.,2358,900,125.04235573316679,45.80160840103228,45.80160840103228,True,79.2407473321345
alloy0_150W_0.1ms,150.0,0.1,0.8784510757271213,0.540757235825267,0.7802984045957397,0.7563982192349767,2.7342933413796544,-0.011538666825451127,False,Maximum number of iterations has been exceeded.,2946,900,1107.1575372551144,711.6679722008896,711.6679722008896,True,395.48956505422484
alloy0_150W_0.5ms,150.0,0.5,2.0515812135948224,0.370921503986994,0.5928724223021411,0.5082450560731924,0.880350252610766,0.010963403214580225,False,Maximum number of iterations has been exceeded.,2512,900,570.6678949413239,427.8555796756523,427.8555796756523,True,142.8123152656716
alloy0_150W_1ms,150.0,1.0,1.339714787415179,0.6727887818188866,0.5434756110095893,0.69689350338001,0.9092790691503851,0.10818179558503209,False,Maximum number of iterations has been exceeded.,1819,900,299.57724767625507,161.8140126988575,161.8140126988575,True,137.76323497739756
alloy0_150W_1.5ms,150.0,1.5,1.500013605881195,0.640295120234925,0.5236166485841554,0.643433972714684,0.920931748485808,0.08128695270797935,False,Maximum number of iterations has been exceeded.,1854,900,331.18026502692663,139.1643041910727,139.1643041910727,True,192.01596083585395
alloy0_250W_0.1ms,250.0,0.1,0.8619214319663527,0.3380512961140355,0.5655738558523994,0.5796575002173876,2.414693080850603,0.012461617800585623,False,Maximum number of iterations has been exceeded.,3086,900,1618.7884042421279,1002.0993764434852,1002.0993764434852,True,616.6890277986427
alloy0_250W_1ms,250.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,Maximum number of iterations has been exceeded.,2421,900,717.9573532602046,807.5371517072086,717.9573532602046,False,0.0
alloy0_250W_1.5ms,250.0,1.5,1.0751882962035095,0.7329407416785804,0.5122661801856428,0.7234826661201819,0.9578824980069345,0.15449002111903634,False,Maximum number of iterations has been exceeded.,1833,900,418.4802025440561,169.72333733977186,169.72333733977186,True,248.75686520428425
alloy0_350W_0.1ms,350.0,0.1,0.34042966817502307,1.197036410132964,1.008101124932478,1.0332246831197047,7.010717594005665,-0.017185081040933043,False,Maximum number of iterations has been exceeded.,2505,900,1960.0781135936836,769.32565982613,769.32565982613,True,1190.7524537675536
alloy0_350W_0.5ms,350.0,0.5,0.5918844220964421,0.6326739955570617,0.6489585494901151,0.6118291362192818,4.594812898208888,-0.0754608267104091,False,Maximum number of iterations has been exceeded.,2547,900,1716.085418878247,885.4416448198797,885.4416448198797,True,830.6437740583674
alloy0_350W_1ms,350.0,1.0,0.8123687355436922,0.7910642889550838,0.5139328064423792,0.6467109453493878,2.8388634831316915,0.018575498413134994,False,Maximum number of iterations has been exceeded.,2596,900,1241.1709155900294,854.8505307924232,854.8505307924232,True,386.32038479760615
alloy0_350W_1.5ms,350.0,1.5,1.1337707982772607,0.6303294878363759,0.575477660261916,0.7195445592286744,0.9458970564723335,0.06837483123726074,False,Maximum number of iterations has been exceeded.,2281,900,816.6800592601952,719.964631829127,719.964631829127,True,96.71542743106818
