delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
220.493,402.882,130.442,-0.176622,0.6003,-0.780029,-32,0,-104.827,0.0883111,697.654,3454.85,2665.2,3454.85,4244.49,3234.35
-233.96,336.749,84.3512,-0.567016,0.27865,-0.775143,-48,0,-95.4684,0.283508,976.629,3454.85,2794.82,3454.85,4114.88,3688.81
18.9176,378.257,109.462,-0.455045,0.489442,-0.743895,-39.756,0,-101.562,0.227523,794.457,3454.85,2713.46,3454.85,4196.23,3435.93
10.5601,377.218,108.509,-0.464361,0.482856,-0.742441,-40,0,-101.402,0.232181,799.176,3454.85,2715.5,3454.85,4194.19,3444.29
143.28,384.881,138.069,-0.14164,0.617012,-0.774102,-32,4.83264,-101.562,0.0708201,739.378,3454.85,2700.48,3454.85,4209.21,3311.57
-89.197,345.972,111.037,-0.320148,0.541395,-0.777429,-40,8,-96.9764,0.160074,879.145,3454.85,2776.74,3454.85,4132.95,3544.04
86.1587,373.06,138.326,-0.103085,0.623361,-0.775109,-32,8,-99.3386,0.0515427,776.474,3454.85,2723.65,3454.85,4186.04,3368.69
-452.905,291.275,57.7725,-0.328018,0.120071,-0.93701,-64,0,-86.8324,0.164009,1341.32,3454.85,2883.95,3454.85,4025.74,3907.75
-289.292,323.276,79.2221,-0.541983,0.233398,-0.807329,-50.8607,0,-93.75,0.270991,1035.54,3454.85,2821.22,3454.85,4088.47,3744.14
-400.185,309.967,69.3236,-0.470977,0.164694,-0.866636,-56,0,-90.2017,0.235488,1175.95,3454.85,2847.31,3454.85,4062.38,3855.03
-255.085,318.751,89.2757,-0.470748,0.37998,-0.796248,-48,5.60121,-93.75,0.235374,1008.45,3454.85,2830.09,3454.85,4079.6,3709.93
-395.867,292.051,70.7228,-0.400055,0.337304,-0.852163,-56,8,-88.7871,0.200027,1208.72,3454.85,2882.43,3454.85,4027.27,3850.71
-234.266,317.151,94.5934,-0.417847,0.441663,-0.793938,-46.8388,8,-93.75,0.208924,997.263,3454.85,2833.23,3454.85,4076.46,3689.11
-265.629,312.935,91.0452,-0.432393,0.423479,-0.796054,-48,8,-92.9933,0.216196,1026.6,3454.85,2841.49,3454.85,4068.2,3720.47
-130.064,337.149,111.376,-0.271393,0.603447,-0.749798,-40,11.7318,-93.75,0.135697,933.772,3454.85,2794.03,3454.85,4115.66,3584.91
-1.89413,358.123,135.27,-0.0642674,0.698369,-0.712847,-32,13.7938,-93.75,0.0321337,864.061,3454.85,2752.93,3454.85,4156.77,3456.74
-323.621,303.583,90.7923,-0.26931,0.651986,-0.708792,-48,16,-86.7134,0.134655,1170.68,3454.85,2859.82,3454.85,4049.87,3778.47
-197.684,327.546,112.044,-0.195291,0.708922,-0.67771,-40,16,-89.446,0.0976456,1028.49,3454.85,2812.86,3454.85,4096.84,3652.53
-52.5443,351.422,135.641,-0.0398671,0.744028,-0.666958,-32,16,-91.146,0.0199336,917.533,3454.85,2766.06,3454.85,4143.63,3507.39
-264.996,276.203,25.4538,-0.368398,0.208329,-0.906026,-88,0,-81.3833,0.184199,1721.91,3454.85,2913.49,3454.85,3996.2,3719.84
-351.334,275.089,34.9828,-0.193258,0.116373,-0.974222,-80,0,-83.3372,0.0966288,1593.78,3454.85,2915.67,3454.85,3994.02,3806.18
-437.82,283.249,52.4689,-0.274502,0.114622,-0.95473,-67.9106,0,-85.9375,0.137251,1400.51,3454.85,2899.68,3454.85,4010.01,3892.67
-426.923,279.449,46.5156,-0.215877,0.10583,-0.970668,-72,0,-84.7263,0.107938,1479.67,3454.85,2907.13,3454.85,4002.57,3881.77
-435.986,280.98,58.0116,-0.302031,0.268815,-0.914612,-64,7.20203,-85.9375,0.151016,1360.59,3454.85,2904.12,3454.85,4005.57,3890.83
-263.002,275.79,27.6259,-0.492743,0.352518,-0.795572,-88,8,-79.457,0.246372,1783.23,3454.85,2914.3,3454.85,3995.39,3717.85
-331.301,277.123,33.8238,-0.236873,0.271384,-0.932867,-80,8,-82.3638,0.118437,1620.91,3454.85,2911.68,3454.85,3998.01,3786.15
-405.405,279.468,44.8015,-0.208357,0.257061,-0.943667,-72,8,-83.8279,0.104178,1504.35,3454.85,2907.09,3454.85,4002.6,3860.25
-432.861,280.226,58.4396,-0.302516,0.286713,-0.908999,-63.7598,8,-85.9375,0.151258,1357.67,3454.85,2905.6,3454.85,4004.09,3887.71
-434.558,280.225,58.0043,-0.298881,0.285137,-0.910696,-64,8,-85.8242,0.149441,1363.89,3454.85,2905.6,3454.85,4004.09,3889.4
-396.51,291.139,71.0226,-0.314142,0.490234,-0.81301,-56,12.8053,-85.9375,0.157071,1274.5,3454.85,2884.21,3454.85,4025.48,3851.36
-294.813,294.637,37.0538,-0.280422,0.548783,-0.787528,-80,16,-78.34,0.140211,1738.79,3454.85,2877.36,3454.85,4032.33,3749.66
-363.138,294.445,45.065,-0.168582,0.523395,-0.835247,-72,16,-80.2188,0.0842911,1607.96,3454.85,2877.73,3454.85,4031.96,3817.98
-413.431,291.867,56.0227,-0.187442,0.545751,-0.816714,-64,16,-81.6139,0.0937212,1488.25,3454.85,2882.79,3454.85,4026.9,3868.28
-345.218,298.852,85.2481,-0.266797,0.635735,-0.724334,-50.5054,16,-85.9375,0.133399,1214.14,3454.85,2869.1,3454.85,4040.6,3800.06
-407.311,292.354,70.9873,-0.249202,0.596442,-0.762991,-56,16,-83.6824,0.124601,1342.01,3454.85,2881.83,3454.85,4027.86,3862.16
-323.282,303.56,89.1682,-0.259687,0.659575,-0.705354,-48,16.8452,-85.9375,0.129843,1187.05,3454.85,2859.87,3454.85,4049.82,3778.13
-218.718,323.274,101.762,-0.165506,0.742304,-0.649302,-40,19.1936,-85.9375,0.0827529,1100.02,3454.85,2821.23,3454.85,4088.46,3673.56
-105.239,342.259,116.241,-0.0114156,0.793852,-0.608004,-32,20.2198,-85.9375,0.00570782,1017.3,3454.85,2784.02,3454.85,4125.67,3560.09
-316.094,312.075,91.9645,-0.0614858,0.839176,-0.540374,-40,24,-78.4558,0.0307429,1300.04,3454.85,2843.18,3454.85,4066.51,3770.94
-227.945,277.395,23.2191,-0.615306,0.337372,-0.712446,-93.5436,0,-78.125,0.307653,1874.66,3454.85,2911.15,3454.85,3998.54,3682.79
-226.939,279.769,23.0771,-0.733434,0.352034,-0.581503,-96,0,-75.4958,0.366717,2001.81,3454.85,2906.5,3454.85,4003.19,3681.79
-257.213,276.627,27.964,-0.566907,0.373412,-0.734289,-89.7676,8,-78.125,0.283454,1842.35,3454.85,2912.66,3454.85,3997.03,3712.06
-262.223,281.926,30.0406,-0.796069,0.354491,-0.490521,-96,8,-71.0511,0.398034,2179.87,3454.85,2902.27,3454.85,4007.42,3717.07
-259.57,279.671,28.8897,-0.514013,0.415505,-0.750431,-88,10.0095,-78.125,0.257007,1824.49,3454.85,2906.69,3454.85,4003,3714.42
-291.179,294.49,36.8039,-0.295537,0.551531,-0.780046,-80.5169,16,-78.125,0.147768,1750.07,3454.85,2877.65,3454.85,4032.05,3746.03
-246.145,291.981,32.855,-0.538139,0.563391,-0.626895,-88,16,-74.1118,0.26907,1972.31,3454.85,2882.56,3454.85,4027.13,3700.99
-293.131,295.571,37.2384,-0.282986,0.554427,-0.782643,-80,16.2509,-78.125,0.141493,1744.98,3454.85,2875.53,3454.85,4034.17,3747.98
-338.605,301.695,45.6049,-0.173358,0.581661,-0.794744,-72,18.8021,-78.125,0.0866792,1665.65,3454.85,2863.52,3454.85,4046.17,3793.45
-379.037,299.508,54.596,-0.144131,0.624159,-0.767887,-64,20.5084,-78.125,0.0720656,1583.57,3454.85,2867.81,3454.85,4041.88,3833.88
-392.7,296.865,64.4902,-0.140334,0.695477,-0.704712,-56,21.9988,-78.125,0.070167,1495.85,3454.85,2872.99,3454.85,4036.7,3847.55
-372.326,300.275,76.7151,-0.11842,0.776711,-0.618625,-48,23.3115,-78.125,0.0592102,1403.37,3454.85,2866.31,3454.85,4043.38,3827.17
-241.986,305.071,41.3294,-0.319107,0.719381,-0.616978,-80,24,-70.9092,0.159553,1995.97,3454.85,2856.91,3454.85,4052.78,3696.83
-301.725,305.785,45.5706,-0.156659,0.700409,-0.696337,-72,24,-73.569,0.0783293,1823.19,3454.85,2855.51,3454.85,4054.19,3756.57
-365.455,300.736,52.8475,-0.0916738,0.699167,-0.709057,-64,24,-74.7285,0.0458369,1702.6,3454.85,2865.4,3454.85,4044.29,3820.3
-402.067,296.528,62.4744,-0.0904713,0.738563,-0.668086,-56,24,-75.6594,0.0452357,1583.67,3454.85,2873.65,3454.85,4036.04,3856.91
-333.655,308.135,87.4385,-0.0716125,0.827633,-0.556682,-42.33,24,-78.125,0.0358063,1335.91,3454.85,2850.9,3454.85,4058.79,3788.5
-385.971,299.663,75.8668,-0.0986222,0.791889,-0.602648,-48,24,-76.9883,0.0493111,1443.84,3454.85,2867.51,3454.85,4042.19,3840.82
-315.079,312.155,90.6753,-0.0580116,0.842083,-0.536219,-40,24.2817,-78.125,0.0290058,1307.84,3454.85,2843.02,3454.85,4066.67,3769.93
-245.934,282.832,24.6449,-0.835912,0.349799,-0.422956,-99.2631,0,-70.3125,0.417956,2235.85,3454.85,2900.49,3454.85,4009.2,3700.78
-265.418,282.569,30.416,-0.804801,0.351124,-0.478547,-96.4418,8,-70.3125,0.402401,2212.9,3454.85,2901.01,3454.85,4008.68,3720.26
-263.662,283.227,30.6737,-0.795812,0.363805,-0.484075,-96,8.76444,-70.3125,0.397906,2207.71,3454.85,2899.72,3454.85,4009.97,3718.51
-247.166,292.921,34.3458,-0.648511,0.531591,-0.544834,-91.5799,16,-70.3125,0.324256,2151.46,3454.85,2880.72,3454.85,4028.97,3702.01
-258.835,287.01,35.442,-0.759493,0.468342,-0.451471,-96,16,-64.0106,0.379747,2475.82,3454.85,2892.31,3454.85,4017.39,3713.68
-232.53,299.226,35.8894,-0.542905,0.619031,-0.567499,-88,19.4332,-70.3125,0.271452,2107.17,3454.85,2868.36,3454.85,4041.33,3687.38
-237.487,304.192,41.1361,-0.34412,0.718866,-0.603997,-80.983,24,-70.3125,0.17206,2026.9,3454.85,2858.63,3454.85,4051.06,3692.33
-213.848,292.001,39.0735,-0.524456,0.698116,-0.487421,-88,24,-64.7845,0.262228,2335.18,3454.85,2882.52,3454.85,4027.17,3668.69
-237.013,305.305,41.7545,-0.324204,0.724534,-0.608228,-80,24.4879,-70.3125,0.162102,2015.57,3454.85,2856.45,3454.85,4053.24,3691.86
-260.758,305.786,45.65,-0.178321,0.747626,-0.639732,-72,27.0927,-70.3125,0.0891603,1926.32,3454.85,2855.51,3454.85,4054.19,3715.6
-308.84,300.512,49.1372,-0.0716398,0.76327,-0.642095,-64,28.2749,-70.3125,0.0358199,1840.91,3454.85,2865.84,3454.85,4043.85,3763.69
-362.589,296.661,53.7476,-0.0106142,0.800304,-0.5995,-56,28.5652,-70.3125,0.00530711,1754.15,3454.85,2873.39,3454.85,4036.3,3817.44
-214.865,288.602,45.239,-0.183042,0.824057,-0.53612,-72,32,-63.5534,0.091521,2191.54,3454.85,2889.19,3454.85,4020.51,3669.71
-283.576,290.392,46.4802,-0.0301768,0.821733,-0.569073,-64,32,-64.9669,0.0150884,2053.85,3454.85,2885.68,3454.85,4024.01,3738.42
-292.961,282.865,25.9643,-0.902587,0.265877,-0.338593,-102.36,0,-62.5,0.451294,2621.29,3454.85,2900.43,3454.85,4009.26,3747.81
-316.309,277.852,26.074,-0.910057,0.212197,-0.356047,-104,0,-57.7819,0.455028,2874.44,3454.85,2910.26,3454.85,3999.44,3771.16
-298.566,281.937,31.7557,-0.869029,0.285174,-0.404308,-100.448,8,-62.5,0.434514,2602.51,3454.85,2902.25,3454.85,4007.44,3753.41
-262.835,285.893,35.642,-0.771239,0.454394,-0.445776,-96.9013,16,-62.5,0.38562,2549.89,3454.85,2894.49,3454.85,4015.2,3717.68
-254.087,286.404,35.8594,-0.75073,0.485614,-0.447866,-96,17.2022,-62.5,0.375365,2536.88,3454.85,2893.49,3454.85,4016.2,3708.93
-213.494,286.893,38.9344,-0.564971,0.679872,-0.467527,-89.9781,24,-62.5,0.282486,2450.97,3454.85,2892.54,3454.85,4017.16,3668.34
-202.111,288.233,40.0072,-0.522629,0.711869,-0.46915,-88,25.5034,-62.5,0.261314,2424.54,3454.85,2889.91,3454.85,4019.78,3656.96
-186.856,288.522,43.2087,-0.347086,0.797384,-0.49367,-80,30.039,-62.5,0.173543,2323.15,3454.85,2889.34,3454.85,4020.35,3641.7
-202.109,285.523,44.8661,-0.22768,0.82608,-0.515514,-74.2543,32,-62.5,0.11384,2256.69,3454.85,2895.22,3454.85,4014.47,3656.95
-174.199,277.486,43.3724,-0.34691,0.819123,-0.456826,-80,32,-59.0565,0.173455,2481.61,3454.85,2910.97,3454.85,3998.72,3629.05
-202.726,286.256,45.3968,-0.1893,0.831746,-0.521886,-72,32.7378,-62.5,0.0946498,2229.09,3454.85,2893.78,3454.85,4015.91,3657.57
-250.541,286.882,45.6824,-0.0352625,0.847641,-0.529398,-64,33.8501,-62.5,0.0176312,2140.6,3454.85,2892.56,3454.85,4017.14,3705.39
-325.458,274.981,25.8998,-0.903356,0.183723,-0.387549,-105.3,0,-54.6875,0.451678,3034.95,3454.85,2915.88,3454.85,3993.81,3780.3
-325.26,271.297,30.5248,-0.886306,0.20796,-0.413782,-104,6.55504,-54.6875,0.443153,3023.28,3454.85,2923.1,3454.85,3986.59,3780.11
-323.309,270.777,31.4241,-0.881367,0.216844,-0.419726,-103.804,8,-54.6875,0.440684,3020.13,3454.85,2924.12,3454.85,3985.57,3778.15
-323.562,269.82,31.3104,-0.880115,0.214395,-0.423595,-104,8,-54.2586,0.440057,3044.54,3454.85,2926,3454.85,3983.69,3778.41
-274.353,271.923,33.9132,-0.80443,0.392355,-0.446038,-101.194,16,-54.6875,0.402215,2967.23,3454.85,2921.88,3454.85,3987.81,3729.2
-268.602,260.095,32.102,-0.794998,0.358411,-0.489408,-104,16,-49.485,0.397499,3255.8,3454.85,2945.06,3454.85,3964.63,3723.45
-220.567,268.292,36.6094,-0.674939,0.602596,-0.425834,-96,23.2582,-54.6875,0.33747,2888.07,3454.85,2928.99,3454.85,3980.7,3675.41
-215.76,267.794,36.9668,-0.655054,0.62513,-0.424401,-95.399,24,-54.6875,0.327527,2878.77,3454.85,2929.97,3454.85,3979.72,3670.61
-215.5,265.609,36.5962,-0.660978,0.619097,-0.42406,-96,24,-53.6845,0.330489,2937.22,3454.85,2934.25,3454.85,3975.44,3670.35
-168.454,266.577,40.2476,-0.498858,0.76169,-0.413484,-88,30.0182,-54.6875,0.249429,2774.3,3454.85,2932.36,3454.85,3977.34,3623.3
-161.237,264.529,41.5545,-0.427449,0.80136,-0.418461,-84.6829,32,-54.6875,0.213724,2731.12,3454.85,2936.37,3454.85,3973.32,3616.08
-153.22,256.436,39.8274,-0.480285,0.780149,-0.400868,-88,32,-50.7923,0.240142,2967.2,3454.85,2952.23,3454.85,3957.46,3608.07
-141.935,268.475,43.1335,-0.352313,0.834264,-0.424122,-80,34.4218,-54.6875,0.176157,2667.35,3454.85,2928.63,3454.85,3981.06,3596.78
-146.075,272.966,43.7757,-0.201255,0.87564,-0.439035,-72,37.1187,-54.6875,0.100627,2568.56,3454.85,2919.83,3454.85,3989.86,3600.92
-198.562,276.014,43.2366,-0.0263265,0.891834,-0.451596,-64,38.2071,-54.6875,0.0131633,2483.51,3454.85,2913.86,3454.85,3995.83,3653.41
-109.381,259.379,43.435,-0.204608,0.889412,-0.408756,-72,40,-48.6051,0.102304,2867.35,3454.85,2946.46,3454.85,3963.23,3564.23
-177.991,267.653,42.9391,-0.0253359,0.898952,-0.437314,-64,40,-50.9713,0.012668,2672.85,3454.85,2930.25,3454.85,3979.45,3632.84
-306.52,262.334,23.7997,-0.809824,0.156826,-0.565324,-109.628,0,-46.875,0.404912,3451.5,3454.85,2940.67,3454.85,3969.02,3761.37
-273.681,257.937,22.782,-0.723596,0.165146,-0.670176,-112,0,-43.7959,0.361798,3606.54,3454.85,2949.29,3454.85,3960.4,3728.53
-301.952,254.348,28.3034,-0.812576,0.18337,-0.553259,-108.368,8,-46.875,0.406288,3438.47,3454.85,2956.32,3454.85,3953.37,3756.8
-253.104,244.91,26.5147,-0.705793,0.177777,-0.685749,-112,8,-42.1394,0.352897,3675.29,3454.85,2974.82,3454.85,3934.87,3707.95
-255.142,254.868,30.7698,-0.773844,0.340907,-0.533805,-105.831,16,-46.875,0.386922,3390.03,3454.85,2955.3,3454.85,3954.39,3709.99
-172.231,241.825,27.3804,-0.63226,0.29393,-0.716835,-112,16,-39.5445,0.31613,3745.05,3454.85,2980.87,3454.85,3928.82,3627.08
-236.119,254.518,31.1176,-0.749118,0.416771,-0.514902,-104,18.7772,-46.875,0.374559,3364.46,3454.85,2955.99,3454.85,3953.7,3690.96
-196.535,252.954,32.4807,-0.662074,0.578115,-0.476908,-100.612,24,-46.875,0.331037,3308.95,3454.85,2959.06,3454.85,3950.64,3651.38
-163.986,246.361,29.912,-0.627914,0.543081,-0.557482,-104,24,-42.2115,0.313957,3558.25,3454.85,2971.98,3454.85,3937.71,3618.83
-164.563,251.891,34.7006,-0.591597,0.678635,-0.43528,-96,28.2324,-46.875,0.295798,3249.43,3454.85,2961.14,3454.85,3948.55,3619.41
-140.361,249.157,37.1408,-0.503251,0.759795,-0.411642,-91.2229,32,-46.875,0.251626,3187.05,3454.85,2966.5,3454.85,3943.19,3595.21
-105.533,243.146,33.3276,-0.508051,0.71837,-0.475214,-96,32,-40.8384,0.254026,3528.77,3454.85,2978.28,3454.85,3931.41,3560.38
-121.905,251.411,38.7456,-0.465487,0.789362,-0.400286,-88,34.0365,-46.875,0.232743,3144.82,3454.85,2962.08,3454.85,3947.61,3576.75
-94.7702,255.823,41.4582,-0.343039,0.852822,-0.393725,-80,38.1044,-46.875,0.171519,3041.74,3454.85,2953.43,3454.85,3956.26,3549.62
-96.3131,255.408,42.6948,-0.245171,0.882446,-0.401473,-74.5571,40,-46.875,0.122585,2977.15,3454.85,2954.25,3454.85,3955.45,3551.16
