case_id,power_w,velocity_m_s,amplitude,rear_scale,front_scale,width_scale,depth_scale,x_shift_over_sigma,optimizer_success,optimizer_message,optimizer_evaluations,warp_sample_points,identity_full_rmse_k,fitted_full_rmse_k,selected_full_rmse_k,fitted_warp_accepted,full_rmse_improvement_k
alloy0_50W_0.1ms,50.0,0.1,0.9803641242566303,0.4215807143905887,0.7584147928665994,0.5995400417653689,0.7179974579792352,-0.033544615281494876,False,Maximum number of iterations has been exceeded.,2281,900,450.96882471425874,92.33601298664404,92.33601298664404,True,358.6328117276147
alloy0_50W_0.5ms,50.0,0.5,1.1591989447399302,0.524371597804618,0.7112342635040543,0.6899934356710512,1.0145860227191799,0.09391171765323432,False,Maximum number of iterations has been exceeded.,1861,900,156.46783152812986,80.88595347720057,80.88595347720057,True,75.58187805092929
alloy0_50W_1ms,50.0,1.0,1.3480890166137043,0.5210484882875935,0.5778800123896265,0.648844399974176,1.0115938896078585,0.1191008982098191,False,Maximum number of iterations has been exceeded.,1805,900,132.98254176588517,56.21328328582936,56.21328328582936,True,76.76925848005581
alloy0_50W_1.5ms,50.0,1.5,1.4783232047143218,0.5101108930407033,0.5494744918093153,0.6206728668929506,1.0096529502806404,0.09909536076294437,False,Maximum number of iterations has been exceeded.,1805,900,125.04235573316679,41.43888505605692,41.43888505605692,True,83.60347067710987
alloy0_150W_0.1ms,150.0,0.1,0.7458629600395381,0.7513938609271009,1.0623217906996993,0.8879088740950354,3.4440999232572116,-0.0870608459059703,False,Maximum number of iterations has been exceeded.,2183,900,1107.1575372551144,596.0525143541036,596.0525143541036,True,511.1050229010109
alloy0_150W_0.5ms,150.0,0.5,1.256921950689037,0.6693006350251077,0.6487747428143739,0.6951700994786374,1.5508625783226395,-0.005517888289340407,False,Maximum number of iterations has been exceeded.,2400,900,570.6678949413239,300.2644601265331,300.2644601265331,True,270.4034348147908
alloy0_150W_1ms,150.0,1.0,1.3396948329404148,0.6728391015145394,0.5434524237582197,0.6968712612720414,0.9092624592723302,0.10821285136451167,False,Maximum number of iterations has been exceeded.,1861,900,299.57724767625507,161.82087696914783,161.82087696914783,True,137.75637070710724
alloy0_150W_1.5ms,150.0,1.5,1.5000978251771484,0.6402225450001453,0.5236511015787044,0.6434201774409924,0.9209047021264659,0.0812688620887194,False,Maximum number of iterations has been exceeded.,1833,900,331.18026502692663,139.1639992102117,139.1639992102117,True,192.01626581671493
alloy0_250W_0.1ms,250.0,0.1,0.46182394600341725,0.9696993229733635,0.9960567846388342,1.030727820897198,4.393294082817466,0.013144624956371587,False,Maximum number of iterations has been exceeded.,2400,900,1618.7884042421279,862.8339661418427,862.8339661418427,True,755.9544381002852
alloy0_250W_1ms,250.0,1.0,0.7649960474208171,1.2619631255216435,0.6216049658786922,0.8139114743350198,2.6301291298757015,0.05559593825277176,False,Maximum number of iterations has been exceeded.,2568,900,717.9573532602046,402.65688722958316,402.65688722958316,True,315.30046603062146
alloy0_250W_1.5ms,250.0,1.5,1.075204848436189,0.7329296587799824,0.5122374167488738,0.7234760712634322,0.9578986290285995,0.1545252652338764,False,Maximum number of iterations has been exceeded.,1826,900,418.4802025440561,169.72053754838834,169.72053754838834,True,248.75966499566778
alloy0_350W_0.1ms,350.0,0.1,0.3054672703654089,1.5162940644133336,1.0946015006671013,1.2475694973300244,8.0,0.006809242854072809,False,Maximum number of iterations has been exceeded.,1896,900,1960.0781135936836,491.4395582540369,491.4395582540369,True,1468.6385553396467
alloy0_350W_0.5ms,350.0,0.5,0.6591808805729449,0.7781041989007766,0.6791659382525488,0.7524342437886884,3.8007909461503813,0.052950307399363794,False,Maximum number of iterations has been exceeded.,2512,900,1716.085418878247,717.1155929029374,717.1155929029374,True,998.9698259753097
alloy0_350W_1ms,350.0,1.0,0.6939291730329296,1.0357480319692396,0.5373954802815208,0.7346709782099881,3.015881508325972,0.19230591625370597,False,Maximum number of iterations has been exceeded.,2232,900,1241.1709155900294,569.9414365601966,569.9414365601966,True,671.2294790298328
alloy0_350W_1.5ms,350.0,1.5,0.8858435689366175,0.8864777548354308,0.5394609624130426,0.699205394880559,2.0383010198653007,0.0672851390815783,False,Maximum number of iterations has been exceeded.,2379,900,816.6800592601952,415.24591214818764,415.24591214818764,True,401.43414711200757
