delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
310.382,361.023,128.573,-0.384204,0.482775,-0.786966,-32,0,-107.686,0.192102,659.555,3454.85,2747.24,3454.85,4162.45,3144.46
205.314,340.464,124.53,-0.279054,0.590131,-0.757545,-32,8,-103.031,0.139527,718.793,3454.85,2787.54,3454.85,4122.16,3249.53
-233.291,272.559,64.354,-0.481447,0.18331,-0.857092,-48,0,-95.49,0.240723,976.189,3454.85,2920.63,3454.85,3989.06,3688.14
20.2738,315.589,99.7506,-0.63398,0.315459,-0.706084,-39.6497,0,-101.562,0.31699,793.727,3454.85,2836.29,3454.85,4073.4,3434.57
0.061536,313.228,97.8064,-0.642777,0.303087,-0.703545,-40,0,-101.081,0.321389,805.263,3454.85,2840.92,3454.85,4068.77,3454.78
-236.315,267.717,65.1341,-0.363947,0.378962,-0.850841,-48,8,-93.9134,0.181973,1003.7,3454.85,2930.12,3454.85,3979.57,3691.16
122.582,327.202,113.626,-0.345214,0.555233,-0.756666,-34.9349,8,-101.562,0.172607,758.275,3454.85,2813.53,3454.85,4096.16,3332.26
-67.5575,300.499,89.3989,-0.484494,0.453362,-0.74815,-40,8,-97.65,0.242247,866.476,3454.85,2865.87,3454.85,4043.82,3522.4
186.182,336.654,122.128,-0.260509,0.625255,-0.735657,-32,9.73395,-101.562,0.130254,736.341,3454.85,2795,3454.85,4114.69,3268.66
45.6967,315.347,115.682,-0.0996628,0.810897,-0.576639,-32,16,-94.0845,0.0498314,855.186,3454.85,2836.77,3454.85,4072.93,3409.15
-401.593,249.708,43.1552,-0.487695,0.134715,-0.862557,-64,0,-88.6983,0.243848,1287.69,3454.85,2965.42,3454.85,3944.27,3856.44
-290.823,261.716,56.0554,-0.420474,0.149863,-0.894842,-53.0331,0,-93.75,0.210237,1053.58,3454.85,2941.88,3454.85,3967.81,3745.67
-333.822,258.123,51.0055,-0.380349,0.126834,-0.916105,-56,0,-92.3969,0.190175,1115.48,3454.85,2948.92,3454.85,3960.77,3788.67
-389.487,249.61,44.5221,-0.494865,0.337227,-0.800866,-64,8,-87.4864,0.247433,1315.7,3454.85,2965.61,3454.85,3944.08,3844.33
-241.864,266.625,64.1828,-0.361874,0.376439,-0.852843,-48.6395,8,-93.75,0.180937,1012.3,3454.85,2932.26,3454.85,3977.43,3696.71
-322.791,256.468,51.867,-0.338775,0.340406,-0.877129,-56,8,-91.2457,0.169388,1141.53,3454.85,2952.17,3454.85,3957.52,3777.64
-237.03,267.389,65.0705,-0.359911,0.388531,-0.848238,-48,8.25772,-93.75,0.179956,1006.56,3454.85,2930.76,3454.85,3978.93,3691.88
