case_id,source_excel_row,alloy,composition,power_w,velocity_m_s,beam_diameter_m,absorptivity,liquidus_temperature_k,thermal_conductivity_w_mk,density_kg_m3,specific_heat_j_kgk,melt_length,melt_width,melt_depth,melt_length_um,melt_width_um,melt_depth_um,peak_temperature,min_temperature,temperature_field,case_directory,temperature_csv,vti_file,heatmap_file,metadata_csv
0_50W_0.1ms,12,0,Hf2Mo2Ta48W48 (at%),50.0,0.1,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,3.9999999999999996e-05,3.9999999999999996e-05,1.9999999999999944e-06,40.0,40.0,1.9999999999999944,3708.751007731932,362.50214819240205,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=3.9999999999999996e-05, melt_depth_m=1.9999999999999944e-06)",beamer/figures/data/BU_ET/0_50W_0.1ms,,beamer/figures/data/BU_ET/0_50W_0.1ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_50W_0.1ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_50W_0.1ms/metadata.csv
0_50W_0.5ms,13,0,Hf2Mo2Ta48W48 (at%),50.0,0.5,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.0,0.0,0.0,0.0,0.0,0.0,2624.453690291505,298.07810163773127,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.0, melt_depth_m=0.0)",beamer/figures/data/BU_ET/0_50W_0.5ms,,beamer/figures/data/BU_ET/0_50W_0.5ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_50W_0.5ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_50W_0.5ms/metadata.csv
0_50W_1ms,14,0,Hf2Mo2Ta48W48 (at%),50.0,1.0,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.0,0.0,0.0,0.0,0.0,0.0,2103.8989610722338,298.00074469420747,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.0, melt_depth_m=0.0)",beamer/figures/data/BU_ET/0_50W_1ms,,beamer/figures/data/BU_ET/0_50W_1ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_50W_1ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_50W_1ms/metadata.csv
0_50W_1.5ms,15,0,Hf2Mo2Ta48W48 (at%),50.0,1.5,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.0,0.0,0.0,0.0,0.0,0.0,1826.9738256302205,298.0001135411246,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.0, melt_depth_m=0.0)",beamer/figures/data/BU_ET/0_50W_1.5ms,,beamer/figures/data/BU_ET/0_50W_1.5ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_50W_1.5ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_50W_1.5ms/metadata.csv
0_150W_0.1ms,16,0,Hf2Mo2Ta48W48 (at%),150.0,0.1,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.00019999999999999998,0.000184,6.400000000000001e-05,199.99999999999997,184.0,64.00000000000001,10530.253023195795,491.50644457720614,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.000184, melt_depth_m=6.400000000000001e-05)",beamer/figures/data/BU_ET/0_150W_0.1ms,,beamer/figures/data/BU_ET/0_150W_0.1ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_150W_0.1ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_150W_0.1ms/metadata.csv
0_150W_0.5ms,17,0,Hf2Mo2Ta48W48 (at%),150.0,0.5,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.00015199999999999998,0.00011999999999999999,2.600000000000001e-05,151.99999999999997,119.99999999999999,26.000000000000007,7277.3610708745155,298.23430491319385,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.00011999999999999999, melt_depth_m=2.600000000000001e-05)",beamer/figures/data/BU_ET/0_150W_0.5ms,,beamer/figures/data/BU_ET/0_150W_0.5ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_150W_0.5ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_150W_0.5ms/metadata.csv
0_150W_1ms,18,0,Hf2Mo2Ta48W48 (at%),150.0,1.0,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.00012,9.2e-05,1.4000000000000015e-05,120.0,92.0,14.000000000000014,5715.696883216701,298.00223408262246,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=9.2e-05, melt_depth_m=1.4000000000000015e-05)",beamer/figures/data/BU_ET/0_150W_1ms,,beamer/figures/data/BU_ET/0_150W_1ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_150W_1ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_150W_1ms/metadata.csv
0_150W_1.5ms,19,0,Hf2Mo2Ta48W48 (at%),150.0,1.5,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,9.599999999999999e-05,7.2e-05,8.000000000000005e-06,95.99999999999999,72.0,8.000000000000005,4884.921476890661,298.0003406233739,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=7.2e-05, melt_depth_m=8.000000000000005e-06)",beamer/figures/data/BU_ET/0_150W_1.5ms,,beamer/figures/data/BU_ET/0_150W_1.5ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_150W_1.5ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_150W_1.5ms/metadata.csv
0_250W_0.1ms,20,0,Hf2Mo2Ta48W48 (at%),250.0,0.1,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.000298,0.000244,0.00010400000000000001,298.0,244.0,104.00000000000001,17351.75503865966,620.5107409620102,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.000244, melt_depth_m=0.00010400000000000001)",beamer/figures/data/BU_ET/0_250W_0.1ms,,beamer/figures/data/BU_ET/0_250W_0.1ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_250W_0.1ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_250W_0.1ms/metadata.csv
0_250W_0.5ms,21,0,Hf2Mo2Ta48W48 (at%),250.0,0.5,8e-05,0.5902430852646028,3454.846466711204,36.27217,18038.93493,264.1654169316529,0.00024199999999999997,0.000156,4.8e-05,241.99999999999997,156.0,48.0,11930.268451457523,298.3905081886564,"TemperatureField(liquidus_temperature_k=3454.846466711204, melt_width_m=0.000156, melt_depth_m=4.8e-05)",beamer/figures/data/BU_ET/0_250W_0.5ms,,beamer/figures/data/BU_ET/0_250W_0.5ms/ET_temperature.vti,beamer/figures/data/BU_ET/0_250W_0.5ms/ET_heatmap.png,beamer/figures/data/BU_ET/0_250W_0.5ms/metadata.csv
