Alloy,Composition,power_w,velocity_m_s,W,Re,Nb,Ta,Mo,Hf,V,Velocity (mm/s),LED (J/m),Classification,source_excel_row,liquidus_temperature_k,meltpool_width_m,meltpool_depth_m,meltpool_length_m,meltpool_width_um,meltpool_depth_um,meltpool_length_um,raw_result_directory,raw_result_file,raw_info_json,peak_temperature_k,raw_gr_csv,gr_point_count
0,Hf2Mo2Ta48W48 (at%),50,0.1,0.48,0,0,0.48,0.02,0.02,0,100,500,,2,3454.846,2.70E-05,3.06E-06,2.72E-05,26.95857047,3.062658601,27.22187546,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_0.1_row2,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_0.1_row2/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_0.1_row2/info.json,3955.566821,,0
0,Hf2Mo2Ta48W48 (at%),50,0.5,0.48,0,0,0.48,0.02,0.02,0,500,100,,3,3454.846,0,0,0,0,0,0,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_0.5_row3,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_0.5_row3/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_0.5_row3/info.json,3387.887434,,0
0,Hf2Mo2Ta48W48 (at%),50,1,0.48,0,0,0.48,0.02,0.02,0,1000,50,,4,3454.846,0,0,0,0,0,0,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_1_row4,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_1_row4/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_1_row4/info.json,2991.711432,,0
0,Hf2Mo2Ta48W48 (at%),50,1.5,0.48,0,0,0.48,0.02,0.02,0,1500,33.33333333,,5,3454.846,0,0,0,0,0,0,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_1.5_row5,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_1.5_row5/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_50_1.5_row5/info.json,2721.632403,,0
0,Hf2Mo2Ta48W48 (at%),150,0.1,0.48,0,0,0.48,0.02,0.02,0,100,1500,,6,3454.846,0.000143796,0.000146832,0.000161593,143.7959421,146.8319669,161.5931851,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_0.1_row6,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_0.1_row6/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_0.1_row6/info.json,5792.901462,,0
0,Hf2Mo2Ta48W48 (at%),150,0.5,0.48,0,0,0.48,0.02,0.02,0,500,300,,7,3454.846,9.13E-05,5.68E-05,0.000150912,91.31416851,56.77674991,150.9120838,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_0.5_row7,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_0.5_row7/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_0.5_row7/info.json,5792.901462,,0
0,Hf2Mo2Ta48W48 (at%),150,1,0.48,0,0,0.48,0.02,0.02,0,1000,150,,8,3454.846,7.59E-05,1.79E-05,0.000115373,75.90403892,17.93166201,115.37292,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_1_row8,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_1_row8/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_1_row8/info.json,7667.773576,,0
0,Hf2Mo2Ta48W48 (at%),150,1.5,0.48,0,0,0.48,0.02,0.02,0,1500,100,,9,3454.846,6.61E-05,1.47E-05,0.000109279,66.10046264,14.6502545,109.2792772,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_1.5_row9,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_1.5_row9/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_150_1.5_row9/info.json,7461.089882,,0
0,Hf2Mo2Ta48W48 (at%),250,0.1,0.48,0,0,0.48,0.02,0.02,0,100,2500,,10,3454.846,0.000168763,0.00024382,0.000198914,168.7629894,243.8203053,198.9138501,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_250_0.1_row10,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_250_0.1_row10/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_250_0.1_row10/info.json,5792.901462,,0
0,Hf2Mo2Ta48W48 (at%),250,0.5,0.48,0,0,0.48,0.02,0.02,0,500,500,,11,3454.846,0.00011966,0.000113125,0.000233851,119.6599401,113.124509,233.8512373,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_250_0.5_row11,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_250_0.5_row11/result.vtu,/home/kyleswartz/projects/ETtoKGT/beamer/figures/data/BU_TCAM/alloy0_250_0.5_row11/info.json,5792.901462,,0
