Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
9.72851e+07,-0.0505147,0.0435315,-0.997774,-4.22405e-05,0,-1.77246e-05,0.0252573,3454.85
1.00183e+08,-0.0790634,0.210784,-0.97433,-4.22405e-05,1.11729e-05,-1.66587e-05,0.0395317,3454.85
9.25651e+07,-0.201245,0.579585,-0.789672,-5.39739e-05,2.23459e-05,-1.08666e-05,0.100622,3454.85
9.30655e+07,-0.234096,0.58817,-0.774115,-5.39739e-05,2.29589e-05,-1.04167e-05,0.117048,3454.85
1.05766e+08,-0.114401,0.446749,-0.887315,-4.22405e-05,2.23459e-05,-1.32717e-05,0.0572007,3454.85
1.09823e+08,-0.132257,0.522261,-0.842468,-4.22405e-05,2.69532e-05,-1.04167e-05,0.0661286,3454.85
1.28927e+08,-0.00317686,0.366629,-0.930362,-3.0507e-05,2.23459e-05,-1.39578e-05,0.00158843,3454.85
9.43385e+07,-0.309403,0.886605,-0.343805,-5.39739e-05,3.04893e-05,0,0.154702,3454.85
1.09111e+08,-0.298265,0.866992,-0.399203,-4.22405e-05,3.35188e-05,-3.43651e-06,0.149133,3454.85
1.02145e+08,-0.357441,0.856039,-0.373409,-4.58305e-05,3.35188e-05,0,0.17872,3454.85
1.07699e+08,-0.241933,0.887375,-0.392471,-4.22405e-05,3.49689e-05,0,0.120966,3454.85
1.39406e+08,-0.0287858,0.595117,-0.803123,-3.0507e-05,2.88454e-05,-1.04167e-05,0.0143929,3454.85
1.41835e+08,-0.0789488,0.704273,-0.705526,-3.0507e-05,3.35188e-05,-6.78303e-06,0.0394744,3454.85
1.33978e+08,-0.1056,0.898822,-0.425402,-3.0507e-05,3.72705e-05,0,0.0528002,3454.85
9.35674e+07,-0.0811771,0.0465519,-0.995612,-4.81072e-05,0,-1.72596e-05,0.0405885,3454.85
9.42602e+07,-0.0885834,0.118486,-0.988997,-4.81072e-05,5.58647e-06,-1.6985e-05,0.0442917,3454.85
9.7977e+07,-0.0612732,0.0934903,-0.993733,-4.22405e-05,5.58647e-06,-1.74767e-05,0.0306366,3454.85
9.66277e+07,-0.0981999,0.220293,-0.970478,-4.81072e-05,1.11729e-05,-1.60651e-05,0.0490999,3454.85
