Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
1.33108e+07,-0.605497,0.511523,-0.609686,-0.000231456,4.59161e-06,-3.12035e-06,0.302749,3454.85
1.32243e+07,-0.601305,0.511858,-0.613177,-0.000231548,4.30464e-06,-3.24155e-06,0.300653,3454.85
1.33373e+07,-0.601148,0.510244,-0.614505,-0.000231311,4.56078e-06,-3.30723e-06,0.300574,3454.85
1.32632e+07,-0.597262,0.504936,-0.62042,-0.000231386,4.30464e-06,-3.42335e-06,0.298631,3454.85
1.31433e+07,-0.597113,0.512192,-0.616667,-0.000231639,4.01766e-06,-3.36275e-06,0.298557,3454.85
1.33646e+07,-0.596798,0.508965,-0.619323,-0.000231167,4.52994e-06,-3.49412e-06,0.298399,3454.85
1.33208e+07,-0.596201,0.514615,-0.614731,-0.000231631,4.64045e-06,-2.92533e-06,0.298101,3454.85
1.33372e+07,-0.595593,0.525325,-0.603684,-0.000231514,4.75679e-06,-2.92533e-06,0.297797,3454.85
1.33339e+07,-0.594795,0.529956,-0.596664,-0.000231331,4.75572e-06,-3.08605e-06,0.297397,3454.85
1.31836e+07,-0.59307,0.505271,-0.623911,-0.000231477,4.01766e-06,-3.54455e-06,0.296535,3454.85
1.30679e+07,-0.592921,0.512527,-0.620158,-0.00023173,3.73069e-06,-3.48395e-06,0.296461,3454.85
1.32922e+07,-0.592913,0.503657,-0.625239,-0.000231241,4.2738e-06,-3.61024e-06,0.296456,3454.85
1.33925e+07,-0.592449,0.507685,-0.624141,-0.000231022,4.49911e-06,-3.68101e-06,0.296225,3454.85
1.3232e+07,-0.592009,0.514949,-0.618222,-0.000231722,4.35347e-06,-3.04653e-06,0.296005,3454.85
1.33595e+07,-0.590446,0.528677,-0.601482,-0.000231186,4.72489e-06,-3.27294e-06,0.295223,3454.85
1.32244e+07,-0.589027,0.498349,-0.631154,-0.000231315,4.01766e-06,-3.72635e-06,0.294514,3454.85
1.31097e+07,-0.588878,0.505605,-0.627401,-0.000231569,3.73069e-06,-3.66575e-06,0.294439,3454.85
1.29983e+07,-0.58873,0.512861,-0.623649,-0.000231822,3.44371e-06,-3.60516e-06,0.294365,3454.85
1.33219e+07,-0.588563,0.502378,-0.630057,-0.000231096,4.24297e-06,-3.79712e-06,0.294282,3454.85
1.34212e+07,-0.5881,0.506406,-0.62896,-0.000230877,4.46827e-06,-3.86789e-06,0.29405,3454.85
1.31487e+07,-0.587818,0.515283,-0.621713,-0.000231813,4.0665e-06,-3.16773e-06,0.293909,3454.85
1.33317e+07,-0.586905,0.517706,-0.619777,-0.000231805,4.68928e-06,-2.7303e-06,0.293453,3454.85
1.33488e+07,-0.586298,0.528416,-0.608729,-0.000231688,4.80562e-06,-2.7303e-06,0.293149,3454.85
1.33859e+07,-0.586096,0.527397,-0.606301,-0.000231041,4.69405e-06,-3.45982e-06,0.293048,3454.85
1.33663e+07,-0.58569,0.539126,-0.597681,-0.000231572,4.92196e-06,-2.7303e-06,0.292845,3454.85
1.3362e+07,-0.584891,0.543757,-0.590661,-0.000231389,4.9209e-06,-2.89103e-06,0.292446,3454.85
1.31519e+07,-0.584835,0.498683,-0.634645,-0.000231407,3.73069e-06,-3.84756e-06,0.292418,3454.85
1.30415e+07,-0.584687,0.505939,-0.630892,-0.00023166,3.44371e-06,-3.78696e-06,0.292343,3454.85
1.32559e+07,-0.584678,0.49707,-0.635972,-0.000231171,3.98683e-06,-3.91324e-06,0.292339,3454.85
1.29346e+07,-0.584538,0.513195,-0.627139,-0.000231913,3.15673e-06,-3.72636e-06,0.292269,3454.85
1.33524e+07,-0.584214,0.501098,-0.634875,-0.000230951,4.21213e-06,-3.98401e-06,0.292107,3454.85
1.33581e+07,-0.584093,0.548388,-0.583642,-0.000231206,4.91983e-06,-3.05175e-06,0.292046,3454.85
1.34506e+07,-0.58375,0.505127,-0.633778,-0.000230732,4.43744e-06,-4.05478e-06,0.291875,3454.85
1.3071e+07,-0.583626,0.515618,-0.625203,-0.000231905,3.77952e-06,-3.28893e-06,0.291813,3454.85
1.32407e+07,-0.582714,0.51804,-0.623267,-0.000231896,4.4023e-06,-2.85151e-06,0.291357,3454.85
1.3413e+07,-0.581747,0.526118,-0.611119,-0.000230897,4.66322e-06,-3.64671e-06,0.290873,3454.85
1.31944e+07,-0.580792,0.491762,-0.641888,-0.000231245,3.73069e-06,-4.02936e-06,0.290396,3454.85
1.30851e+07,-0.580643,0.499018,-0.638135,-0.000231498,3.44371e-06,-3.96876e-06,0.290322,3454.85
1.29791e+07,-0.580495,0.506274,-0.634383,-0.000231751,3.15673e-06,-3.90816e-06,0.290247,3454.85
1.28768e+07,-0.580346,0.51353,-0.63063,-0.000232004,2.86976e-06,-3.84756e-06,0.290173,3454.85
1.3288e+07,-0.580329,0.49579,-0.640791,-0.000231026,3.95599e-06,-4.10013e-06,0.290164,3454.85
1.33835e+07,-0.579865,0.499819,-0.639694,-0.000230807,4.1813e-06,-4.1709e-06,0.289932,3454.85
1.33829e+07,-0.579743,0.547109,-0.58846,-0.000231061,4.889e-06,-3.23864e-06,0.289872,3454.85
1.29991e+07,-0.579434,0.515952,-0.628694,-0.000231996,3.49254e-06,-3.41013e-06,0.289717,3454.85
1.34807e+07,-0.579401,0.503847,-0.638597,-0.000230587,4.4066e-06,-4.24166e-06,0.289701,3454.85
1.31552e+07,-0.578522,0.518375,-0.626758,-0.000231988,4.11533e-06,-2.97271e-06,0.289261,3454.85
1.33437e+07,-0.57761,0.520797,-0.624822,-0.000231979,4.73811e-06,-2.53528e-06,0.288805,3454.85
1.34409e+07,-0.577398,0.524839,-0.615938,-0.000230752,4.63238e-06,-3.83359e-06,0.288699,3454.85
1.33613e+07,-0.577002,0.531507,-0.613774,-0.000231863,4.85445e-06,-2.53528e-06,0.288501,3454.85
1.3129e+07,-0.5766,0.492096,-0.645379,-0.000231336,3.44371e-06,-4.15056e-06,0.2883,3454.85
1.30241e+07,-0.576452,0.499352,-0.641626,-0.00023159,3.15673e-06,-4.08996e-06,0.288226,3454.85
1.32283e+07,-0.576443,0.490483,-0.646706,-0.0002311,3.69985e-06,-4.21624e-06,0.288221,3454.85
