x,y,z,T_TCAM
-2.17E-05,1.14E-05,-8.30E-05,5792.901462
-2.27E-05,8.73E-06,-9.68E-05,5792.901462
-1.38E-05,1.23E-05,-6.92E-05,5792.901462
-1.47E-05,1.50E-05,-5.96E-05,5792.901462
-1.28E-05,0,-8.86E-05,5792.901462
-1.28E-05,0,-8.86E-05,5792.901462
-1.28E-05,0,-8.86E-05,5792.901462
-1.28E-05,0,-8.86E-05,5792.901462
-1.28E-05,0,-8.86E-05,5792.901462
-1.28E-05,0,-8.86E-05,5792.901462
-1.44E-05,0,-9.31E-05,5792.901462
-8.27E-06,0,-7.66E-05,5792.901462
-1.44E-05,0,-9.31E-05,5792.901462
-1.44E-05,0,-9.31E-05,5792.901462
-8.27E-06,0,-7.66E-05,5792.901462
-1.44E-05,0,-9.31E-05,5792.901462
-1.44E-05,0,-9.31E-05,5792.901462
-1.44E-05,0,-9.31E-05,5792.901462
-8.27E-06,0,-7.66E-05,5792.901462
-8.27E-06,0,-7.66E-05,5792.901462
-8.27E-06,0,-7.66E-05,5792.901462
-8.27E-06,0,-7.66E-05,5792.901462
-3.25E-05,2.71E-05,0,5792.901462
-3.25E-05,2.71E-05,0,5792.901462
-3.25E-05,2.71E-05,0,5792.901462
-3.25E-05,2.71E-05,0,5792.901462
-3.25E-05,2.71E-05,0,5792.901462
-3.25E-05,2.71E-05,0,5792.901462
2.74E-05,5.33E-06,0,5792.901462
-2.70E-05,1.39E-21,-8.30E-05,5792.901462
-2.15E-05,1.65E-22,-0.000109827,5792.901462
-2.78E-05,1.04E-05,-6.06E-05,5792.901462
-2.74E-05,1.23E-05,-5.53E-05,5792.901462
-3.14E-05,2.03E-21,-5.53E-05,5792.901462
-3.40E-05,2.39E-21,-4.15E-05,5792.901462
-2.61E-05,1.98E-05,-2.77E-05,5792.901462
-2.68E-05,1.60E-05,-4.15E-05,5792.901462
-2.42E-05,1.01E-05,-8.30E-05,5792.901462
-2.44E-05,2.45E-06,-9.92E-05,5792.901462
-1.64E-05,1.06E-05,-8.01E-05,5792.901462
-2.10E-05,8.85E-06,-9.68E-05,5792.901462
-2.56E-05,1.18E-21,-9.29E-05,5792.901462
-2.62E-05,1.27E-21,-8.87E-05,5792.901462
-1.91E-05,2.79E-06,-0.000105073,5792.901462
-2.44E-05,8.08E-06,-9.00E-05,5792.901462
-2.32E-05,5.52E-22,-0.00010529,5792.901462
-1.61E-05,1.16E-05,-7.55E-05,5792.901462
-3.01E-05,1.85E-21,-6.29E-05,5792.901462
-2.78E-05,9.06E-06,-6.52E-05,5792.901462
-2.57E-05,7.49E-06,-8.30E-05,5792.901462
-2.44E-05,9.04E-22,-1.00E-04,5792.901462
-2.50E-05,1.09E-21,-9.68E-05,5792.901462
-2.90E-05,1.70E-21,-6.92E-05,5792.901462
-1.83E-05,3.44E-06,-0.000102788,5792.901462
-2.21E-05,2.78E-22,-0.000108747,5792.901462
-3.72E-05,2.80E-21,-2.77E-05,5792.901462
-4.12E-05,3.33E-21,-1.38E-05,5792.901462
-2.38E-05,7.10E-22,-0.000102982,5792.901462
-2.80E-05,1.54E-21,-7.61E-05,5792.901462
-2.26E-05,1.64E-06,-0.000105796,5792.901462
-2.27E-05,4.11E-22,-0.000107173,5792.901462
2.47E-06,2.81E-05,-6.92E-06,5792.901462
-2.14E-05,2.88E-05,-6.92E-06,5792.901462
1.00E-05,2.44E-05,-6.92E-06,5792.901462
-3.02E-05,1.55E-05,-2.77E-05,5792.901462
1.49E-05,1.96E-05,-6.92E-06,5792.901462
-3.49E-05,2.04E-05,-6.92E-06,5792.901462
-2.94E-05,2.55E-05,-6.92E-06,5792.901462
-1.41E-05,3.05E-05,-6.92E-06,5792.901462
-3.78E-06,2.49E-05,-1.38E-05,5792.901462
-4.39E-06,1.84E-05,-3.46E-05,5792.901462
9.01E-06,1.79E-05,-1.38E-05,5792.901462
3.40E-06,1.50E-05,-2.77E-05,5792.901462
1.58E-05,6.57E-06,-1.38E-05,5792.901462
-1.90E-05,2.55E-05,-1.38E-05,5792.901462
1.98E-05,1.32E-05,-6.92E-06,5792.901462
-1.57E-05,0,-9.68E-05,5792.901462
-1.57E-05,0,-9.68E-05,5792.901462
-1.57E-05,0,-9.68E-05,5792.901462
-1.57E-05,0,-9.68E-05,5792.901462
-1.57E-05,0,-9.68E-05,5792.901462
-1.63E-05,-6.69E-23,-0.000100479,5792.901462
-1.63E-05,-6.69E-23,-0.000100479,5792.901462
-2.78E-06,0,-6.20E-05,5792.901462
-3.00E-07,0,-5.53E-05,5792.901462
-3.00E-07,0,-5.53E-05,5792.901462
5.07E-06,0,-4.15E-05,5792.901462
-3.00E-07,0,-5.53E-05,5792.901462
5.07E-06,0,-4.15E-05,5792.901462
-1.81E-05,0,-0.000107448,5792.901462
-3.00E-07,0,-5.53E-05,5792.901462
-1.75E-05,0,-0.000105574,5792.901462
-1.81E-05,0,-0.000107448,5792.901462
-1.07E-05,0,-8.30E-05,5792.901462
-1.07E-05,0,-8.30E-05,5792.901462
-1.07E-05,0,-8.30E-05,5792.901462
-1.07E-05,0,-8.30E-05,5792.901462
1.08E-05,0,-2.77E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
-1.93E-05,0,-0.000109995,5792.901462
-1.69E-05,0,-0.000103326,5792.901462
-1.81E-05,0,-0.000107448,5792.901462
-2.78E-06,0,-6.20E-05,5792.901462
-2.78E-06,0,-6.20E-05,5792.901462
-3.00E-07,0,-5.53E-05,5792.901462
-1.69E-05,0,-0.000103326,5792.901462
-1.75E-05,0,-0.000105574,5792.901462
-5.42E-06,0,-6.92E-05,5792.901462
-2.78E-06,0,-6.20E-05,5792.901462
-1.75E-05,0,-0.000105574,5792.901462
1.08E-05,0,-2.77E-05,5792.901462
5.07E-06,0,-4.15E-05,5792.901462
1.08E-05,0,-2.77E-05,5792.901462
5.07E-06,0,-4.15E-05,5792.901462
-1.93E-05,0,-0.000109995,5792.901462
-1.07E-05,0,-8.30E-05,5792.901462
-5.42E-06,0,-6.92E-05,5792.901462
-5.42E-06,0,-6.92E-05,5792.901462
-2.78E-06,0,-6.20E-05,5792.901462
1.08E-05,0,-2.77E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
1.08E-05,0,-2.77E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
-1.93E-05,2.54E-24,-0.000109995,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
-2.78E-06,0,-6.20E-05,5792.901462
-3.00E-07,0,-5.53E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
1.76E-05,0,-1.38E-05,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
-1.65E-05,3.38E-05,0,5792.901462
1.59E-05,2.61E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
8.09E-07,3.36E-05,0,5792.901462
1.59E-05,2.61E-05,0,5792.901462
1.59E-05,2.61E-05,0,5792.901462
-4.34E-05,1.51E-05,0,5792.901462
-4.73E-05,5.04E-20,0,5792.901462
1.59E-05,2.61E-05,0,5792.901462
1.59E-05,2.61E-05,0,5792.901462
